id,files,group,rep,sex,tissue,timePoint
Brain.e11.1,4322sTS.Rat.Brain.11.Female.htseq.u.txt,e11,1,Female,Brain,-10
Brain.e11.2,4324sTS.Rat.Brain.11.Female.htseq.u.txt,e11,2,Female,Brain,-10
Brain.e11.3,4326sTS.Rat.Brain.11.Male.htseq.u.txt,e11,3,Male,Brain,-10
Brain.e11.4,4328sTS.Rat.Brain.11.Male.htseq.u.txt,e11,4,Male,Brain,-10
Brain.e12.1,4175sTS.Rat.Brain.12.Male.htseq.u.txt,e12,1,Male,Brain,-9
Brain.e12.2,4179sTS.Rat.Brain.12.Male.htseq.u.txt,e12,2,Male,Brain,-9
Brain.e12.3,4199sTS.Rat.Brain.12.Female.htseq.u.txt,e12,3,Female,Brain,-9
Brain.e12.4,4205sTS.Rat.Brain.12.Female.htseq.u.txt,e12,4,Female,Brain,-9
Brain.e13.1,3513sTS.Rat.Brain.13.Female.htseq.u.txt,e13,1,Female,Brain,-8
Brain.e13.2,3520sTS.Rat.Brain.13.Male.htseq.u.txt,e13,2,Male,Brain,-8
Brain.e13.3,3545sTS.Rat.Brain.13.Female.htseq.u.txt,e13,3,Female,Brain,-8
Brain.e13.4,3649sTS.Rat.Brain.13.Male.htseq.u.txt,e13,4,Male,Brain,-8
Brain.e14.1,4003sTS.Rat.Brain.14.Male.htseq.u.txt,e14,1,Male,Brain,-7
Brain.e14.2,4092sTS.Rat.Brain.14.Male.htseq.u.txt,e14,2,Male,Brain,-7
Brain.e14.3,4235sTS.Rat.Brain.14.Female.htseq.u.txt,e14,3,Female,Brain,-7
Brain.e15.1,4010sTS.Rat.Brain.15.Male.htseq.u.txt,e15,1,Male,Brain,-6
Brain.e15.2,4032sTS.Rat.Brain.15.Male.htseq.u.txt,e15,2,Male,Brain,-6
Brain.e15.3,4228sTS.Rat.Brain.15.Female.htseq.u.txt,e15,3,Female,Brain,-6
Brain.e15.4,4231sTS.Rat.Brain.15.Female.htseq.u.txt,e15,4,Female,Brain,-6
Brain.e16.1,4094sTS.Rat.Brain.16.Male.htseq.u.txt,e16,1,Male,Brain,-5
Brain.e16.2,4096sTS.Rat.Brain.16.Male.htseq.u.txt,e16,2,Male,Brain,-5
Brain.e16.3,4098sTS.Rat.Brain.16.Female.htseq.u.txt,e16,3,Female,Brain,-5
Brain.e16.4,4100sTS.Rat.Brain.16.Female.htseq.u.txt,e16,4,Female,Brain,-5
Brain.e17.1,2598sTS.Rat.Brain.17.Male.htseq.u.txt,e17,1,Male,Brain,-4
Brain.e17.2,2600sTS.Rat.Brain.17.Female.htseq.u.txt,e17,2,Female,Brain,-4
Brain.e17.3,2603sTS.Rat.Brain.17.Male.htseq.u.txt,e17,3,Male,Brain,-4
Brain.e17.4,2605sTS.Rat.Brain.17.Female.htseq.u.txt,e17,4,Female,Brain,-4
Brain.e17.5,4251sTS.Rat.Brain.17.Female.htseq.u.txt,e17,5,Female,Brain,-4
Brain.e17.6,4253sTS.Rat.Brain.17.Female.htseq.u.txt,e17,6,Female,Brain,-4
Brain.e18.1,4227sTS.Rat.Brain.18.Female.htseq.u.txt,e18,1,Female,Brain,-3
Brain.e18.2,4249sTS.Rat.Brain.18.Female.htseq.u.txt,e18,2,Female,Brain,-3
Brain.e18.3,5980sTS.Rat.Brain.18.Male.htseq.u.txt,e18,3,Male,Brain,-3
Brain.e18.4,5981sTS.Rat.Brain.18.Male.htseq.u.txt,e18,4,Male,Brain,-3
Brain.e19.1,2400sTS.Rat.Brain.19d.Female.htseq.u.txt,e19,1,Female,Brain,-2
Brain.e19.2,2402sTS.Rat.Brain.19.Female.htseq.u.txt,e19,2,Female,Brain,-2
Brain.e19.3,2404sTS.Rat.Brain.19d.Male.htseq.u.txt,e19,3,Male,Brain,-2
Brain.e19.4,2406sTS.Rat.Brain.19.Male.htseq.u.txt,e19,4,Male,Brain,-2
Brain.e20.1,2672sTS.Rat.Brain.20.Male.htseq.u.txt,e20,1,Male,Brain,-1
Brain.e20.2,2677sTS.Rat.Brain.20.Female.htseq.u.txt,e20,2,Female,Brain,-1
Brain.e20.3,2690sTS.Rat.Brain.20.Female.htseq.u.txt,e20,3,Female,Brain,-1
Brain.e20.4,2691sTS.Rat.Brain.20.Male.htseq.u.txt,e20,4,Male,Brain,-1
Brain.P0.1,1746sTS.Rat.Brain.0dpb.Male.htseq.u.txt,P0,1,Male,Brain,0
Brain.P0.2,2181sTS.Rat.Brain.0dpb.Female.htseq.u.txt,P0,2,Female,Brain,0
Brain.P0.3,2288sTS.Rat.Brain.0dpb.Female.htseq.u.txt,P0,3,Female,Brain,0
Brain.P0.4,2292sTS.Rat.Brain.0dpb.Female.htseq.u.txt,P0,4,Female,Brain,0
Brain.P3.1,4898sTS.Rat.Brain.3dpb.Female.htseq.u.txt,P3,1,Female,Brain,1
Brain.P3.2,4904sTS.Rat.Brain.3dpb.Male.htseq.u.txt,P3,2,Male,Brain,1
Brain.P3.3,4958sTS.Rat.Brain.3dpb.Male.htseq.u.txt,P3,3,Male,Brain,1
Brain.P3.4,4964sTS.Rat.Brain.3dpb.Female.htseq.u.txt,P3,4,Female,Brain,1
Brain.P7.1,2294sTS.Rat.Brain.1wpb.Female.htseq.u.txt,P7,1,Female,Brain,2
Brain.P7.2,2298sTSb.Rat.Brain.1wpb.Female.htseq.u.txt,P7,2,Female,Brain,2
Brain.P7.3,2302sTS.Rat.Brain.1wpb.Male.htseq.u.txt,P7,3,Male,Brain,2
Brain.P7.4,2360sTS.Rat.Brain.1wpb.Male.htseq.u.txt,P7,4,Male,Brain,2
Brain.P14.1,2336sTS.Rat.Brain.2wpb.Female.htseq.u.txt,P14,1,Female,Brain,3
Brain.P14.2,2339sTS.Rat.Brain.2wpb.Female.htseq.u.txt,P14,2,Female,Brain,3
Brain.P14.3,2342sTS.Rat.Brain.2wpb.Male.htseq.u.txt,P14,3,Male,Brain,3
Brain.P14.4,2345sTS.Rat.Brain.2wpb.Male.htseq.u.txt,P14,4,Male,Brain,3
Brain.P42.1,1875sTS.Rat.Brain.6wpb.Male.htseq.u.txt,P42,1,Male,Brain,4
Brain.P42.2,1971sTS.Rat.Brain.6wpb.Male.htseq.u.txt,P42,2,Male,Brain,4
Brain.P42.3,1975sTS.Rat.Brain.6wpb.Female.htseq.u.txt,P42,3,Female,Brain,4
Brain.P42.4,2363sTS.Rat.Brain.6wpb.Female.htseq.u.txt,P42,4,Female,Brain,4
Brain.P112.1,2348sTS.Rat.Brain.16wpb.Female.htseq.u.txt,P112,1,Female,Brain,5
Brain.P112.2,2352sTS.Rat.Brain.16wpb.Female.htseq.u.txt,P112,2,Female,Brain,5
Brain.P112.3,2356sTS.Rat.Brain.16wpb.Male.htseq.u.txt,P112,3,Male,Brain,5
Brain.P112.4,2367sTS.Rat.Brain.16wpb.Male.htseq.u.txt,P112,4,Male,Brain,5
Cerebellum.e14.1,4004sTS.Rat.Cerebellum.14.Male.htseq.u.txt,e14,1,Male,Cerebellum,-7
Cerebellum.e14.2,4007sTS.Rat.Cerebellum.14.Female.htseq.u.txt,e14,2,Female,Cerebellum,-7
Cerebellum.e14.3,4093sTS.Rat.Cerebellum.14.Male.htseq.u.txt,e14,3,Male,Cerebellum,-7
Cerebellum.e14.4,4250sTS.Rat.Cerebellum.14.Female.htseq.u.txt,e14,4,Female,Cerebellum,-7
Cerebellum.e15.1,4011sTS.Rat.Cerebellum.15.Male.htseq.u.txt,e15,1,Male,Cerebellum,-6
Cerebellum.e15.2,4033sTS.Rat.Cerebellum.15.Male.htseq.u.txt,e15,2,Male,Cerebellum,-6
Cerebellum.e15.3,4229sTS.Rat.Cerebellum.15.Female.htseq.u.txt,e15,3,Female,Cerebellum,-6
Cerebellum.e15.4,4232sTS.Rat.Cerebellum.15.Female.htseq.u.txt,e15,4,Female,Cerebellum,-6
Cerebellum.e16.1,4095sTS.Rat.Cerebellum.16.Male.htseq.u.txt,e16,1,Male,Cerebellum,-5
Cerebellum.e16.2,4097sTS.Rat.Cerebellum.16.Male.htseq.u.txt,e16,2,Male,Cerebellum,-5
Cerebellum.e16.3,4099sTS.Rat.Cerebellum.16.Female.htseq.u.txt,e16,3,Female,Cerebellum,-5
Cerebellum.e16.4,4101sTS.Rat.Cerebellum.16.Female.htseq.u.txt,e16,4,Female,Cerebellum,-5
Cerebellum.e17.1,2599sTS.Rat.Cerebellum.17.Male.htseq.u.txt,e17,1,Male,Cerebellum,-4
Cerebellum.e17.2,2601sTS.Rat.Cerebellum.17.Female.htseq.u.txt,e17,2,Female,Cerebellum,-4
Cerebellum.e17.3,2604sTS.Rat.Cerebellum.17.Male.htseq.u.txt,e17,3,Male,Cerebellum,-4
Cerebellum.e17.4,2606sTS.Rat.Cerebellum.17.Female.htseq.u.txt,e17,4,Female,Cerebellum,-4
Cerebellum.e17.5,4252sTS.Rat.Cerebellum.17.Female.htseq.u.txt,e17,5,Female,Cerebellum,-4
Cerebellum.e17.6,4254sTS.Rat.Cerebellum.17.Female.htseq.u.txt,e17,6,Female,Cerebellum,-4
Cerebellum.e18.1,4226sTS.Rat.Cerebellum.18.Female.htseq.u.txt,e18,1,Female,Cerebellum,-3
Cerebellum.e18.2,4261sTS.Rat.Cerebellum.18.Female.htseq.u.txt,e18,2,Female,Cerebellum,-3
Cerebellum.e19.1,2401sTS.Rat.Cerebellum.19d.Female.htseq.u.txt,e19,1,Female,Cerebellum,-2
Cerebellum.e19.2,2403sTS.Rat.Cerebellum.19.Female.htseq.u.txt,e19,2,Female,Cerebellum,-2
Cerebellum.e19.3,2405sTS.Rat.Cerebellum.19d.Male.htseq.u.txt,e19,3,Male,Cerebellum,-2
Cerebellum.e19.4,2407sTS.Rat.Cerebellum.19.Male.htseq.u.txt,e19,4,Male,Cerebellum,-2
Cerebellum.e20.1,2673sTS.Rat.Cerebellum.20.Male.htseq.u.txt,e20,1,Male,Cerebellum,-1
Cerebellum.e20.2,2678sTS.Rat.Cerebellum.20.Female.htseq.u.txt,e20,2,Female,Cerebellum,-1
Cerebellum.e20.3,2692sTS.Rat.Cerebellum.20.Female.htseq.u.txt,e20,3,Female,Cerebellum,-1
Cerebellum.e20.4,2700sTS.Rat.Cerebellum.20.Male.htseq.u.txt,e20,4,Male,Cerebellum,-1
Cerebellum.P0.1,1747sTSm.Rat.Cerebellum.0dpb.Male.htseq.u.txt,P0,1,Male,Cerebellum,0
Cerebellum.P0.2,2182sTS.Rat.Cerebellum.0dpb.Female.htseq.u.txt,P0,2,Female,Cerebellum,0
Cerebellum.P0.3,2289sTS.Rat.Cerebellum.0dpb.Female.htseq.u.txt,P0,3,Female,Cerebellum,0
Cerebellum.P0.4,2293sTS.Rat.Cerebellum.0dpb.Female.htseq.u.txt,P0,4,Female,Cerebellum,0
Cerebellum.P0.5,5348sTS.Rat.Cerebellum.0dpb.Male.htseq.u.txt,P0,5,Male,Cerebellum,0
Cerebellum.P3.1,4899sTS.Rat.Cerebellum.3dpb.Female.htseq.u.txt,P3,1,Female,Cerebellum,1
Cerebellum.P3.2,4905sTS.Rat.Cerebellum.3dpb.Male.htseq.u.txt,P3,2,Male,Cerebellum,1
Cerebellum.P3.3,4959sTS.Rat.Cerebellum.3dpb.Male.htseq.u.txt,P3,3,Male,Cerebellum,1
Cerebellum.P3.4,4965sTS.Rat.Cerebellum.3dpb.Female.htseq.u.txt,P3,4,Female,Cerebellum,1
Cerebellum.P7.1,2295sTS.Rat.Cerebellum.1wpb.Female.htseq.u.txt,P7,1,Female,Cerebellum,2
Cerebellum.P7.2,2299sTS.Rat.Cerebellum.1wpb.Female.htseq.u.txt,P7,2,Female,Cerebellum,2
Cerebellum.P7.3,2303sTS.Rat.Cerebellum.1wpb.Male.htseq.u.txt,P7,3,Male,Cerebellum,2
Cerebellum.P7.4,2361sTS.Rat.Cerebellum.1wpb.Male.htseq.u.txt,P7,4,Male,Cerebellum,2
Cerebellum.P14.1,2337sTS.Rat.Cerebellum.2wpb.Female.htseq.u.txt,P14,1,Female,Cerebellum,3
Cerebellum.P14.2,2340sTS.Rat.Cerebellum.2wpb.Female.htseq.u.txt,P14,2,Female,Cerebellum,3
Cerebellum.P14.3,2343sTS.Rat.Cerebellum.2wpb.Male.htseq.u.txt,P14,3,Male,Cerebellum,3
Cerebellum.P14.4,2346sTS.Rat.Cerebellum.2wpb.Male.htseq.u.txt,P14,4,Male,Cerebellum,3
Cerebellum.P42.1,1968sTS.Rat.Cerebellum.6wpb.Male.htseq.u.txt,P42,1,Male,Cerebellum,4
Cerebellum.P42.2,1972sTS.Rat.Cerebellum.6wpb.Male.htseq.u.txt,P42,2,Male,Cerebellum,4
Cerebellum.P42.3,2285sTS.Rat.Cerebellum.6wpb.Female.htseq.u.txt,P42,3,Female,Cerebellum,4
Cerebellum.P42.4,2364sTS.Rat.Cerebellum.6wpb.Female.htseq.u.txt,P42,4,Female,Cerebellum,4
Cerebellum.P112.1,2349sTS.Rat.Cerebellum.16wpb.Female.htseq.u.txt,P112,1,Female,Cerebellum,5
Cerebellum.P112.2,2353sTS.Rat.Cerebellum.16wpb.Female.htseq.u.txt,P112,2,Female,Cerebellum,5
Cerebellum.P112.3,2357sTS.Rat.Cerebellum.16wpb.Male.htseq.u.txt,P112,3,Male,Cerebellum,5
Cerebellum.P112.4,2368sTS.Rat.Cerebellum.16wpb.Male.htseq.u.txt,P112,4,Male,Cerebellum,5
Heart.e11.1,4323sTS.Rat.Heart.11.Female.htseq.u.txt,e11,1,Female,Heart,-10
Heart.e11.2,4325sTS.Rat.Heart.11.Female.htseq.u.txt,e11,2,Female,Heart,-10
Heart.e11.3,4327sTS.Rat.Heart.11.Male.htseq.u.txt,e11,3,Male,Heart,-10
Heart.e11.4,4329sTS.Rat.Heart.11.Male.htseq.u.txt,e11,4,Male,Heart,-10
Heart.e12.1,4194sTS.Rat.Heart.12.Male.htseq.u.txt,e12,1,Male,Heart,-9
Heart.e12.2,4196sTS.Rat.Heart.12.Male.htseq.u.txt,e12,2,Male,Heart,-9
Heart.e12.3,4201sTS.Rat.Heart.12.Female.htseq.u.txt,e12,3,Female,Heart,-9
Heart.e12.4,4259sTS.Rat.Heart.12.Female.htseq.u.txt,e12,4,Female,Heart,-9
Heart.e13.1,3514sTS.Rat.Heart.13.Female.htseq.u.txt,e13,1,Female,Heart,-8
Heart.e13.2,3521sTS.Rat.Heart.13.Male.htseq.u.txt,e13,2,Male,Heart,-8
Heart.e13.3,3528sTS.Rat.Heart.13.Female.htseq.u.txt,e13,3,Female,Heart,-8
Heart.e13.4,3650sTS.Rat.Heart.13.Male.htseq.u.txt,e13,4,Male,Heart,-8
Heart.e14.1,3539sTS.Rat.Heart.14.Female.htseq.u.txt,e14,1,Female,Heart,-7
Heart.e14.2,3548sTS.Rat.Heart.14.Female.htseq.u.txt,e14,2,Female,Heart,-7
Heart.e14.3,3552sTS.Rat.Heart.14.Male.htseq.u.txt,e14,3,Male,Heart,-7
Heart.e14.4,3556sTS.Rat.Heart.14.Male.htseq.u.txt,e14,4,Male,Heart,-7
Heart.e15.1,3560sTS.Rat.Heart.15.Male.htseq.u.txt,e15,1,Male,Heart,-6
Heart.e15.2,3562sTS.Rat.Heart.15.Female.htseq.u.txt,e15,2,Female,Heart,-6
Heart.e15.3,3565sTS.Rat.Heart.15.Male.htseq.u.txt,e15,3,Male,Heart,-6
Heart.e15.4,3570sTS.Rat.Heart.15.Female.htseq.u.txt,e15,4,Female,Heart,-6
Heart.e16.1,3595sTS.Rat.Heart.16.Female.htseq.u.txt,e16,1,Female,Heart,-5
Heart.e16.2,3600sTS.Rat.Heart.16.Male.htseq.u.txt,e16,2,Male,Heart,-5
Heart.e16.3,3604sTS.Rat.Heart.16.Female.htseq.u.txt,e16,3,Female,Heart,-5
Heart.e16.4,3607sTS.Rat.Heart.16.Female.htseq.u.txt,e16,4,Female,Heart,-5
Heart.e17.1,2685sTS.Rat.Heart.17.Male.htseq.u.txt,e17,1,Male,Heart,-4
Heart.e17.2,2686sTS.Rat.Heart.17.Female.htseq.u.txt,e17,2,Female,Heart,-4
Heart.e17.3,3900sTS.Rat.Heart.17.Female.htseq.u.txt,e17,3,Female,Heart,-4
Heart.e17.4,3902sTS.Rat.Heart.17.Male.htseq.u.txt,e17,4,Male,Heart,-4
Heart.e18.1,2667sTS.Rat.Heart.18.Female.htseq.u.txt,e18,1,Female,Heart,-3
Heart.e18.2,2721sTS.Rat.Heart.18.Female.htseq.u.txt,e18,2,Female,Heart,-3
Heart.e18.3,2723sTS.Rat.Heart.18.Male.htseq.u.txt,e18,3,Male,Heart,-3
Heart.e18.4,2762sTS.Rat.Heart.18.Male.htseq.u.txt,e18,4,Male,Heart,-3
Heart.e18.5,5576sTS.Rat.Heart.18.Female.htseq.u.txt,e18,5,Female,Heart,-3
Heart.e18.6,5577sTS.Rat.Heart.18.Female.htseq.u.txt,e18,6,Female,Heart,-3
Heart.e19.1,2435sTS.Rat.Heart.19.Female.htseq.u.txt,e19,1,Female,Heart,-2
Heart.e19.2,2437sTS.Rat.Heart.19.Female.htseq.u.txt,e19,2,Female,Heart,-2
Heart.e19.3,2440sTS.Rat.Heart.19.Male.htseq.u.txt,e19,3,Male,Heart,-2
Heart.e19.4,2715sTS.Rat.Heart.19.Male.htseq.u.txt,e19,4,Male,Heart,-2
Heart.e20.1,2683sTS.Rat.Heart.20.Female.htseq.u.txt,e20,1,Female,Heart,-1
Heart.e20.2,2684sTS.Rat.Heart.20.Male.htseq.u.txt,e20,2,Male,Heart,-1
Heart.e20.3,2698sTS.Rat.Heart.20.Female.htseq.u.txt,e20,3,Female,Heart,-1
Heart.e20.4,2702sTS.Rat.Heart.20.Male.htseq.u.txt,e20,4,Male,Heart,-1
Heart.P0.1,1748sTS.Rat.Heart.0dpb.Male.htseq.u.txt,P0,1,Male,Heart,0
Heart.P0.2,2706sTS.Rat.Heart.0dpb.Female.htseq.u.txt,P0,2,Female,Heart,0
Heart.P0.3,2708sTS.Rat.Heart.0dpb.Male.htseq.u.txt,P0,3,Male,Heart,0
Heart.P0.4,2710sTS.Rat.Heart.0dpb.Female.htseq.u.txt,P0,4,Female,Heart,0
Heart.P3.1,4900sTS.Rat.Heart.3dpb.Female.htseq.u.txt,P3,1,Female,Heart,1
Heart.P3.2,4906sTS.Rat.Heart.3dpb.Male.htseq.u.txt,P3,2,Male,Heart,1
Heart.P3.3,4960sTS.Rat.Heart.3dpb.Male.htseq.u.txt,P3,3,Male,Heart,1
Heart.P3.4,4966sTS.Rat.Heart.3dpb.Female.htseq.u.txt,P3,4,Female,Heart,1
Heart.P7.1,2724sTS.Rat.Heart.1wpb.Female.htseq.u.txt,P7,1,Female,Heart,2
Heart.P7.2,2734sTS.Rat.Heart.1wpb.Male.htseq.u.txt,P7,2,Male,Heart,2
