id,files,group,sex,tissue,timePoint
Brain.e10.5.1,2580sTS.Mouse.Brain.10.5.Female.htseq.u.txt,e10.5,Female,Brain,-9
Brain.e10.5.2,3459sTS.Mouse.Brain.10.5.Female.htseq.u.txt,e10.5,Female,Brain,-9
Brain.e10.5.3,2579sTS.Mouse.Brain.10.5.Male.htseq.u.txt,e10.5,Male,Brain,-9
Brain.e11.5.1,2937sTS.Mouse.Brain.11.5.Female.htseq.u.txt,e11.5,Female,Brain,-8
Brain.e11.5.2,2621sTS.Mouse.Brain.11.5.Male.htseq.u.txt,e11.5,Male,Brain,-8
Brain.e11.5.3,2624sTS.Mouse.Brain.11.5.Male.htseq.u.txt,e11.5,Male,Brain,-8
Brain.e11.5.4,3096sTS.Mouse.Brain.11.5.Male.htseq.u.txt,e11.5,Male,Brain,-8
Brain.e12.5.1,3043sTS.Mouse.Brain.12.5.Female.htseq.u.txt,e12.5,Female,Brain,-7
Brain.e12.5.2,3038sTS.Mouse.Brain.12.5.Female.htseq.u.txt,e12.5,Female,Brain,-7
Brain.e12.5.3,2945sTS.Mouse.Brain.12.5.Male.htseq.u.txt,e12.5,Male,Brain,-7
Brain.e12.5.4,3040sTS.Mouse.Brain.12.5.Male.htseq.u.txt,e12.5,Male,Brain,-7
Brain.e13.5.1,2813sTS.Mouse.Brain.13.5.Female.htseq.u.txt,e13.5,Female,Brain,-6
Brain.e13.5.2,2829sTS.Mouse.Brain.13.5.Female.htseq.u.txt,e13.5,Female,Brain,-6
Brain.e13.5.3,2821sTS.Mouse.Brain.13.5.Male.htseq.u.txt,e13.5,Male,Brain,-6
Brain.e13.5.4,2837sTS.Mouse.Brain.13.5.Male.htseq.u.txt,e13.5,Male,Brain,-6
Brain.e14.5.1,2227sTSc.Mouse.Brain.14.5.Female.htseq.u.txt,e14.5,Female,Brain,-5
Brain.e14.5.2,2243sTS.Mouse.Brain.14.5.Female.htseq.u.txt,e14.5,Female,Brain,-5
Brain.e14.5.3,2223sTSc.Mouse.Brain.14.5.Male.htseq.u.txt,e14.5,Male,Brain,-5
Brain.e14.5.4,2237sTSm.Mouse.Brain.14.5.Male.htseq.u.txt,e14.5,Male,Brain,-5
Brain.e15.5.1,2189sTS.Mouse.Brain.15.5.Female.htseq.u.txt,e15.5,Female,Brain,-4
Brain.e15.5.2,2247sTS.Mouse.Brain.15.5.Female.htseq.u.txt,e15.5,Female,Brain,-4
Brain.e15.5.3,2185sTS.Mouse.Brain.15.5.Male.htseq.u.txt,e15.5,Male,Brain,-4
Brain.e15.5.4,2193sTS.Mouse.Brain.15.5.Male.htseq.u.txt,e15.5,Male,Brain,-4
Brain.e16.5.1,2254sTS.Mouse.Brain.16.5.Female.htseq.u.txt,e16.5,Female,Brain,-3
Brain.e16.5.2,2273sTS.Mouse.Brain.16.5.Female.htseq.u.txt,e16.5,Female,Brain,-3
Brain.e16.5.3,2257sTS.Mouse.Brain.16.5.Male.htseq.u.txt,e16.5,Male,Brain,-3
Brain.e16.5.4,2276sTS.Mouse.Brain.16.5.Male.htseq.u.txt,e16.5,Male,Brain,-3
Brain.e17.5.1,2163sTS.Mouse.Brain.17.5.Female.htseq.u.txt,e17.5,Female,Brain,-2
Brain.e17.5.2,2165sTSm.Mouse.Brain.17.5.Female.htseq.u.txt,e17.5,Female,Brain,-2
Brain.e17.5.3,2157sTS.Mouse.Brain.17.5.Male.htseq.u.txt,e17.5,Male,Brain,-2
Brain.e17.5.4,2160sTS.Mouse.Brain.17.5.Male.htseq.u.txt,e17.5,Male,Brain,-2
Brain.e18.5.1,2313sTS.Mouse.Brain.18.5.Female.htseq.u.txt,e18.5,Female,Brain,-1
Brain.e18.5.2,2323sTS.Mouse.Brain.18.5.Female.htseq.u.txt,e18.5,Female,Brain,-1
Brain.e18.5.3,2307sTS.Mouse.Brain.18.5.Male.htseq.u.txt,e18.5,Male,Brain,-1
Brain.e18.5.4,2317sTS.Mouse.Brain.18.5.Male.htseq.u.txt,e18.5,Male,Brain,-1
Brain.P0.1,1740sTSm.Mouse.Brain.0dpb.Female.htseq.u.txt,P0,Female,Brain,0
Brain.P0.2,1900sTS.Mouse.Brain.0dpb.Female.htseq.u.txt,P0,Female,Brain,0
Brain.P0.3,1906sTS.Mouse.Brain.0dpb.Male.htseq.u.txt,P0,Male,Brain,0
Brain.P0.4,1912sTS.Mouse.Brain.0dpb.Male.htseq.u.txt,P0,Male,Brain,0
Brain.P3.1,1918sTS.Mouse.Brain.3dpb.Female.htseq.u.txt,P3,Female,Brain,1
Brain.P3.2,1930sTS.Mouse.Brain.3dpb.Female.htseq.u.txt,P3,Female,Brain,1
Brain.P3.3,1924sTS.Mouse.Brain.3dpb.Male.htseq.u.txt,P3,Male,Brain,1
Brain.P3.4,1964sTS.Mouse.Brain.3dpb.Male.htseq.u.txt,P3,Male,Brain,1
Brain.P14.1,1884sTS.Mouse.Brain.2w.Female.htseq.u.txt,P14,Female,Brain,2
Brain.P14.2,1888sTS.Mouse.Brain.2w.Female.htseq.u.txt,P14,Female,Brain,2
Brain.P14.3,1876sTS.Mouse.Brain.2w.Male.htseq.u.txt,P14,Male,Brain,2
Brain.P14.4,1880sTS.Mouse.Brain.2w.Male.htseq.u.txt,P14,Male,Brain,2
Brain.P28.1,1936sTS.Mouse.Brain.4w.Female.htseq.u.txt,P28,Female,Brain,3
Brain.P28.2,1940sTS.Mouse.Brain.4w.Female.htseq.u.txt,P28,Female,Brain,3
Brain.P28.3,1892sTS.Mouse.Brain.4w.Male.htseq.u.txt,P28,Male,Brain,3
Brain.P28.4,1896sTS.Mouse.Brain.4w.Male.htseq.u.txt,P28,Male,Brain,3
Brain.P63.1,1948sTS.Mouse.Brain.9w.Female.htseq.u.txt,P63,Female,Brain,4
Brain.P63.2,1960sTS.Mouse.Brain.9w.Female.htseq.u.txt,P63,Female,Brain,4
Brain.P63.3,1944sTS.Mouse.Brain.9w.Male.htseq.u.txt,P63,Male,Brain,4
Brain.P63.4,1954sTS.Mouse.Brain.9w.Male.htseq.u.txt,P63,Male,Brain,4
Cerebellum.e13.5.1,2814sTS.Mouse.Cerebellum.13.5.Female.htseq.u.txt,e13.5,Female,Cerebellum,-6
Cerebellum.e13.5.2,2830sTS.Mouse.Cerebellum.13.5.Female.htseq.u.txt,e13.5,Female,Cerebellum,-6
Cerebellum.e13.5.3,2822sTS.Mouse.Cerebellum.13.5.Male.htseq.u.txt,e13.5,Male,Cerebellum,-6
Cerebellum.e13.5.4,2838sTS.Mouse.Cerebellum.13.5.Male.htseq.u.txt,e13.5,Male,Cerebellum,-6
Cerebellum.e14.5.1,2228sTSc.Mouse.Cerebellum.14.5.Female.htseq.u.txt,e14.5,Female,Cerebellum,-5
Cerebellum.e14.5.2,2244sTS.Mouse.Cerebellum.14.5.Female.htseq.u.txt,e14.5,Female,Cerebellum,-5
Cerebellum.e14.5.3,2224sTSc.Mouse.Cerebellum.14.5.Male.htseq.u.txt,e14.5,Male,Cerebellum,-5
Cerebellum.e14.5.4,2238sTS.Mouse.Cerebellum.14.5.Male.htseq.u.txt,e14.5,Male,Cerebellum,-5
Cerebellum.e15.5.1,2190sTS.Mouse.Cerebellum.15.5.Female.htseq.u.txt,e15.5,Female,Cerebellum,-4
Cerebellum.e15.5.2,2218sTS.Mouse.Cerebellum.15.5.Female.htseq.u.txt,e15.5,Female,Cerebellum,-4
Cerebellum.e15.5.3,2186sTS.Mouse.Cerebellum.15.5.Male.htseq.u.txt,e15.5,Male,Cerebellum,-4
Cerebellum.e15.5.4,2194sTS.Mouse.Cerebellum.15.5.Male.htseq.u.txt,e15.5,Male,Cerebellum,-4
Cerebellum.e16.5.1,2255sTS.Mouse.Cerebellum.16.5.Female.htseq.u.txt,e16.5,Female,Cerebellum,-3
Cerebellum.e16.5.2,2274sTS.Mouse.Cerebellum.16.5.Female.htseq.u.txt,e16.5,Female,Cerebellum,-3
Cerebellum.e16.5.3,2258sTSm.Mouse.Cerebellum.16.5.Male.htseq.u.txt,e16.5,Male,Cerebellum,-3
Cerebellum.e16.5.4,2277sTS.Mouse.Cerebellum.16.5.Male.htseq.u.txt,e16.5,Male,Cerebellum,-3
Cerebellum.e17.5.1,2164sTS.Mouse.Cerebellum.17.5.Female.htseq.u.txt,e17.5,Female,Cerebellum,-2
Cerebellum.e17.5.2,2166sTS.Mouse.Cerebellum.17.5.Female.htseq.u.txt,e17.5,Female,Cerebellum,-2
Cerebellum.e17.5.3,2158sTS.Mouse.Cerebellum.17.5.Male.htseq.u.txt,e17.5,Male,Cerebellum,-2
Cerebellum.e17.5.4,2161sTS.Mouse.Cerebellum.17.5.Male.htseq.u.txt,e17.5,Male,Cerebellum,-2
Cerebellum.e18.5.1,2314sTS.Mouse.Cerebellum.18.5.Female.htseq.u.txt,e18.5,Female,Cerebellum,-1
Cerebellum.e18.5.2,2324sTS.Mouse.Cerebellum.18.5.Female.htseq.u.txt,e18.5,Female,Cerebellum,-1
Cerebellum.e18.5.3,2308sTS.Mouse.Cerebellum.18.5.Male.htseq.u.txt,e18.5,Male,Cerebellum,-1
Cerebellum.e18.5.4,2318sTS.Mouse.Cerebellum.18.5.Male.htseq.u.txt,e18.5,Male,Cerebellum,-1
Cerebellum.P0.1,1741sTS.Mouse.Cerebellum.0dpb.Female.htseq.u.txt,P0,Female,Cerebellum,0
Cerebellum.P0.2,1901sTSm.Mouse.Cerebellum.0dpb.Female.htseq.u.txt,P0,Female,Cerebellum,0
Cerebellum.P0.3,1907sTS.Mouse.Cerebellum.0dpb.Male.htseq.u.txt,P0,Male,Cerebellum,0
Cerebellum.P0.4,3919sTS.Mouse.Cerebellum.0dpb.Male.htseq.u.txt,P0,Male,Cerebellum,0
Cerebellum.P3.1,1919sTS.Mouse.Cerebellum.3dpb.Female.htseq.u.txt,P3,Female,Cerebellum,1
Cerebellum.P3.2,1931sTS.Mouse.Cerebellum.3dpb.Female.htseq.u.txt,P3,Female,Cerebellum,1
Cerebellum.P3.3,1925sTSm.Mouse.Cerebellum.3dpb.Male.htseq.u.txt,P3,Male,Cerebellum,1
Cerebellum.P3.4,1965sTS.Mouse.Cerebellum.3dpb.Male.htseq.u.txt,P3,Male,Cerebellum,1
Cerebellum.P14.1,1885sTS.Mouse.Cerebellum.2w.Female.htseq.u.txt,P14,Female,Cerebellum,2
Cerebellum.P14.2,1877sTS.Mouse.Cerebellum.2w.Male.htseq.u.txt,P14,Male,Cerebellum,2
Cerebellum.P14.3,1881sTS.Mouse.Cerebellum.2w.Male.htseq.u.txt,P14,Male,Cerebellum,2
Cerebellum.P28.1,1941sTS.Mouse.Cerebellum.4w.Female.htseq.u.txt,P28,Female,Cerebellum,3
Cerebellum.P28.2,1937sTS.Mouse.Cerebellum.4w.Female.htseq.u.txt,P28,Female,Cerebellum,3
Cerebellum.P28.3,1893sTS.Mouse.Cerebellum.4w.Male.htseq.u.txt,P28,Male,Cerebellum,3
Cerebellum.P28.4,1897sTS.Mouse.Cerebellum.4w.Male.htseq.u.txt,P28,Male,Cerebellum,3
Cerebellum.P63.1,1949sTS.Mouse.Cerebellum.9w.Female.htseq.u.txt,P63,Female,Cerebellum,4
Cerebellum.P63.2,1961sTS.Mouse.Cerebellum.9w.Female.htseq.u.txt,P63,Female,Cerebellum,4
Cerebellum.P63.3,1945sTS.Mouse.Cerebellum.9w.Male.htseq.u.txt,P63,Male,Cerebellum,4
Cerebellum.P63.4,1955sTSm.Mouse.Cerebellum.9wpb.Male.htseq.u.txt,P63,Male,Cerebellum,4
Heart.e10.5.1,3460sTS.Mouse.Heart.10.5.Female.htseq.u.txt,e10.5,Female,Heart,-9
Heart.e10.5.2,2581sTS.Mouse.Heart.10.5.Female.htseq.u.txt,e10.5,Female,Heart,-9
Heart.e10.5.3,2647sTS.Mouse.Heart.10.5.Female.htseq.u.txt,e10.5,Female,Heart,-9
Heart.e10.5.4,2495sTS.Mouse.Heart.10.5.Male.htseq.u.txt,e10.5,Male,Heart,-9
Heart.e11.5.1,3031sTS.Mouse.Heart.11.5.Female.htseq.u.txt,e11.5,Female,Heart,-8
Heart.e11.5.2,2938sTS.Mouse.Heart.11.5.Female.htseq.u.txt,e11.5,Female,Heart,-8
Heart.e11.5.3,2622sTS.Mouse.Heart.11.5.Male.htseq.u.txt,e11.5,Male,Heart,-8
Heart.e11.5.4,2944sTS.Mouse.Heart.11.5.Male.htseq.u.txt,e11.5,Male,Heart,-8
Heart.e12.5.1,5027sTS.Mouse.Heart.12.5.Female.htseq.u.txt,e12.5,Female,Heart,-7
Heart.e12.5.2,3502sTS.Mouse.Heart.12.5.Female.htseq.u.txt,e12.5,Female,Heart,-7
Heart.e12.5.3,3036sTS.Mouse.Heart.12.5.Male.htseq.u.txt,e12.5,Male,Heart,-7
Heart.e12.5.4,3041sTS.Mouse.Heart.12.5.Male.htseq.u.txt,e12.5,Male,Heart,-7
Heart.e13.5.1,2831sTS.Mouse.Heart.13.5.Female.htseq.u.txt,e13.5,Female,Heart,-6
Heart.e13.5.2,2815sTS.Mouse.Heart.13.5.Female.htseq.u.txt,e13.5,Female,Heart,-6
Heart.e13.5.3,2823sTS.Mouse.Heart.13.5.Male.htseq.u.txt,e13.5,Male,Heart,-6
Heart.e13.5.4,2839sTS.Mouse.Heart.13.5.Male.htseq.u.txt,e13.5,Male,Heart,-6
Heart.e14.5.1,2487sTS.Mouse.Heart.14.5.Female.htseq.u.txt,e14.5,Female,Heart,-5
Heart.e14.5.2,2459sTS.Mouse.Heart.14.5.Male.htseq.u.txt,e14.5,Male,Heart,-5
Heart.e14.5.3,2461sTS.Mouse.Heart.14.5.Male.htseq.u.txt,e14.5,Male,Heart,-5
Heart.e15.5.1,2510sTS.Mouse.Heart.15.5.Female.htseq.u.txt,e15.5,Female,Heart,-4
Heart.e15.5.2,2508sTS.Mouse.Heart.15.5.Female.htseq.u.txt,e15.5,Female,Heart,-4
Heart.e15.5.3,2504sTS.Mouse.Heart.15.5.Male.htseq.u.txt,e15.5,Male,Heart,-4
Heart.e15.5.4,2506sTS.Mouse.Heart.15.5.Male.htseq.u.txt,e15.5,Male,Heart,-4
Heart.e16.5.1,2587sTS.Mouse.Heart.16.5.Female.htseq.u.txt,e16.5,Female,Heart,-3
Heart.e16.5.2,2585sTS.Mouse.Heart.16.5.Female.htseq.u.txt,e16.5,Female,Heart,-3
Heart.e16.5.3,2512sTS.Mouse.Heart.16.5.Male.htseq.u.txt,e16.5,Male,Heart,-3
Heart.e16.5.4,2514sTS.Mouse.Heart.16.5.Male.htseq.u.txt,e16.5,Male,Heart,-3
Heart.e17.5.1,2595sTS.Mouse.Heart.17.5.Female.htseq.u.txt,e17.5,Female,Heart,-2
Heart.e17.5.2,2593sTS.Mouse.Heart.17.5.Female.htseq.u.txt,e17.5,Female,Heart,-2
Heart.e17.5.3,2589sTS.Mouse.Heart.17.5.Male.htseq.u.txt,e17.5,Male,Heart,-2
Heart.e17.5.4,2591sTS.Mouse.Heart.17.5.Male.htseq.u.txt,e17.5,Male,Heart,-2
Heart.e18.5.1,5028sTS.Mouse.Heart.18.5.Female.htseq.u.txt,e18.5,Female,Heart,-1
Heart.e18.5.2,2639sTS.Mouse.Heart.18.5.Female.htseq.u.txt,e18.5,Female,Heart,-1
Heart.e18.5.3,2633sTS.Mouse.Heart.18.5.Male.htseq.u.txt,e18.5,Male,Heart,-1
Heart.e18.5.4,2635sTS.Mouse.Heart.18.5.Male.htseq.u.txt,e18.5,Male,Heart,-1
Heart.P0.1,1742sTS.Mouse.Heart.0dpb.Female.htseq.u.txt,P0,Female,Heart,0
Heart.P0.2,1902sTS.Mouse.Heart.0dpb.Female.htseq.u.txt,P0,Female,Heart,0
Heart.P0.3,1908sTS.Mouse.Heart.0dpb.Male.htseq.u.txt,P0,Male,Heart,0
Heart.P0.4,1914sTS.Mouse.Heart.0dpb.Male.htseq.u.txt,P0,Male,Heart,0
Heart.P3.1,1920sTS.Mouse.Heart.3dpb.Female.htseq.u.txt,P3,Female,Heart,1
Heart.P3.2,1932sTS.Mouse.Heart.3dpb.Female.htseq.u.txt,P3,Female,Heart,1
Heart.P3.3,1926sTS.Mouse.Heart.3dpb.Male.htseq.u.txt,P3,Male,Heart,1
Heart.P3.4,2641sTS.Mouse.Heart.3dpb.Male.htseq.u.txt,P3,Male,Heart,1
Heart.P14.1,2653sTS.Mouse.Heart.2wpb.Female.htseq.u.txt,P14,Female,Heart,2
Heart.P14.2,2651sTS.Mouse.Heart.2wpb.Female.htseq.u.txt,P14,Female,Heart,2
Heart.P14.3,2643sTS.Mouse.Heart.2wpb.Male.htseq.u.txt,P14,Male,Heart,2
Heart.P14.4,2645sTS.Mouse.Heart.2wpb.Male.htseq.u.txt,P14,Male,Heart,2
Heart.P28.1,2657sTS.Mouse.Heart.4wpb.Female.htseq.u.txt,P28,Female,Heart,3
Heart.P28.2,2655sTS.Mouse.Heart.4wpb.Female.htseq.u.txt,P28,Female,Heart,3
Heart.P28.3,2659sTS.Mouse.Heart.4wpb.Male.htseq.u.txt,P28,Male,Heart,3
Heart.P28.4,2661sTS.Mouse.Heart.4wpb.Male.htseq.u.txt,P28,Male,Heart,3
Heart.P63.1,2669sTS.Mouse.Heart.9wpb.Female.htseq.u.txt,P63,Female,Heart,4
Heart.P63.2,1950sTS.Mouse.Heart.9w.Female.htseq.u.txt,P63,Female,Heart,4
Heart.P63.3,1956sTS.Mouse.Heart.9wpb.Male.htseq.u.txt,P63,Male,Heart,4
Heart.P63.4,2663sTS.Mouse.Heart.9wpb.Male.htseq.u.txt,P63,Male,Heart,4
Kidney.e11.5.1,3366sTS.Mouse.Kidney.11.5.Female.htseq.u.txt,e11.5,Female,Kidney,-8
Kidney.e11.5.2,3364sTS.Mouse.Kidney.11.5.Female.htseq.u.txt,e11.5,Female,Kidney,-8
